会社名,概要,郵便番号,住所,設立年度,資本金等,代表者,URL,売上,従業員数
株式会社サクラ美装 ,株式会社オールインイーストは個人向けのハウスクリーニング・ハウスキーパーから法人向けのマンション・アパート・ビル定期清掃を運営する会社である。女性スタッフが多く在籍しており、セットで申し込むとお得なパックプランも用意している。厚生省認可による社団法人全国ハウスクリーニング協会認定企業としてハイクオリティーな技術と知識を持っている。, 〒 963-8071 , 福島県郡山市富久山町久保田字水口31-1 , - ,-,櫻井　明美,http://www.alloneeast.com/,-,-
株式会社サロンジエ ,株式会社サロンジエはアパレル製品の企画・製造・販売等を行う会社である。エプロンやハンカチーフ、バッグ等の小物類の製造を実施。全国の百貨店やチェーンストア、専門店への卸販売を行う。主な取り扱いブランドは「Campion」「CROCODILE」「Blanc de Salon」「GIANNI VALENTINO」等。, 〒 963-0832 , 福島県郡山市中田町中津川字町田前241-1 , 1967/10/24 ,"86,000,000円",竹間 正男,http://www.salonge.co.jp/, 10億～100億  , 101名～300名  
株式会社コントラクトサービス ,株式会社コントラクトサービスは関東・東北地方で業務請負業・人材派遣業を運営する会社である。入社前教育、マナー教育、安全教育（KYT、不安全行動、冬期安全運転教育等）、QC（品質）教育などの教育訓練をしている。サービス内容は製造組立、ライン作業、加工作業、検査作業、研究開発、CADオペレーション、特殊整備オペレーション、ピッキング作業、倉庫内仕分け、一般事務、受付案内などがある。, 〒 963-8041 , 福島県郡山市富田町字愛宕前78番地の2山一富田ビル303号 , 2012/6/15 ,"10,000,000円",山田 将信,http://contract-s.com/,-,-
キュアホーム株式会社 ,キュアホーム株式会社は訪問介護、居宅介護支援を運営する会社である。関連会社は、株式会社蔭山工務店、藤寿産業株式会社である。訪問介護サービスは介護保険・医療保険共に利用可能で、休日・夜間の緊急時にも対応できるよう24時間体制が整っている。また理学療法士、作業療法士などの専門的なリハビリテーションを提供している。, 〒 963-0725 , 福島県郡山市田村町金屋上川原286-12 , 2013/8 ,"5,000,000円",蔭山　寿一,http://cure-home.com/, ～1億  , 6～10名  
株式会社シンワ・プランニング ,株式会社シンワ・プランニングは、メーカー製造請負事業を手掛けている会社である。福島県郡山市に本社を構え、製造メーカーの工場内業務請負を主な事業としている。顧客企業と綿密な打合せと試算を重ねて各工程ごとに契約しており、責任者と社員が工場に常勤し、製造から検査・出荷までを行っている。主な取引先には、上場製造メーカーなどがある。, 〒 963-0207 , 福島県郡山市鳴神3-58-2 , 1987/1/8 ,"42,000,000円",遠藤　勝栄,http://www.sinwa-p.com/index.html, 1億～3億  , 31名～100名 
株式会社ツールマート ,株式会社ツールマートは、物流機器を販売したり、レイアウト設計を手掛けている会社である。顧客企業からの様々なニーズに応え、工場や物流の現場などに役立つ商品をいち早く提供しており、アフターサービスも行われている。スチール製パレットや運搬台車、フォークリフト用の安全機器やエンジン洗浄機などの商品を取り扱っている。, 〒 963-0531 , 福島県郡山市日和田町高倉大口原18-90 , 2012/6/1 ,"5,000,000円",四家 英彦,http://www.toolmart.jp/, 3億～10億  , 6～10名  
株式会社ＦＥＣＥ ,株式会社FECEは、国産車や輸入車の買い取りや販売、自動車関連車両のリース販売を行う会社である。また、自動車の整備や鈑金塗装も請け負うほか、1日車検、自動車部品やアクセサリー販売、取り付けも行っている。その他、ソフト開発や自社開発パッケージソフト販売などのIT事業や、床や壁、ガラスなどの施設特殊加工やコーティングなども請け負っている。, 〒 963-0725 , 福島県郡山市田村町金屋マセ口42-1 , 2010/5 ,"3,000,000円",白石 進,http://www.fece.jp/index.html, 1億～3億  , 11名～30名  
株式会社ニッセイＳＩ ,株式会社ニッセイSIは、測量機器の販売とレンタルの会社である。昭和63年に郡山市で設立された。計測機器の販売と修理、測量業務け・建設業務けの各種システム、土木施工管理システムなどが主な事業内容である。事務用品・オフィス用備品・OA機器の販売も行っている。主な取引先は、建設システム、コンピュータシステム研究所などである。, 〒 963-0201 , 福島県郡山市大槻町北八耕地9-1 , 1988/7 ,"10,000,000円",君島 敦,http://nissay-si.co.jp/, 1億～3億  , 1～5名  
みのり工房株式会社遠藤海苔店 ,みのり工房株式会社遠藤海苔店は、茶専門店や贈答品店、冠婚葬祭業様を中心に幅広い商品供給を行っている会社である。東北6県をメインに営業を行いに関東や北海道と広範囲に及び積極的な業務活動の展開を続けている。またお気軽にご利用をいただけるようにwebサイトの運営を手掛けており、全国的なサービス提供を続けている。, 〒 963-0107 , 福島県郡山市安積4丁目142番地 , 1963/11 , 1949/12 ,"50,000,000円","",-, 31名～100名 
ｌｉｎｋｓａｇｅｎｃｙ株式会社 ,linksagency株式会社は、広告代理業を行っている会社である。主な事業内容として、広告代理店業・Web・グラフィック・動画のデザイン制作・企画・総合プロデュースが挙げられる。同社はその中でも、企業イメージを高めるWebのデザイン制作を得意としており、これまで多くの企業を手がけてきた実績を持つ。, 〒 963-8001 , 福島県郡山市大町1-9-13 HD郡山大町ビル6F , 2013/3 ,"5,000,000円",渡邊 万里子,http://links-agency.com/, ～1億  , 1～5名  
